Quantity,Value,Notes
Aircraft Cm_alpha (VLM),-31.286182,Pitching moment derivative with respect to angle of attack
Aircraft CZ_alpha (VLM),7.166964,Aircraft vertical-force/lift-related derivative from VLM
Wing CZ_alpha (VLM),6.455332,Wing lift-related derivative from VLM
Horizontal tail CZ_alpha (VLM),0.711632,Horizontal-tail lift-related derivative from VLM
Wing CL_alpha (DATCOM),5.688712,DATCOM wing lift-curve slope
Horizontal tail CL_alpha (DATCOM),2.468331,DATCOM horizontal-tail lift-curve slope with downwash correction
dCm/dCL from VLM alpha sweep,-4.388007,Linear fit of Cm against CL using low-angle range
Fuselage dCmf/dCL used with DATCOM,0.218337,Fuselage moment-lift derivative using DATCOM wing slope
Fuselage dCmf/dCL used with VLM,0.192408,Fuselage moment-lift derivative using VLM wing slope
DATCOM neutral point x_np,14.916708,"Neutral point from DATCOM-style estimate, m from nose"
VLM neutral point x_np,14.815948,"Neutral point from VLM Cm-CL slope, m from nose"
Empty/component DATCOM static margin,16.49589,"Static margin using empty/component CG, %MAC"
Empty/component VLM static margin,13.642555,"Static margin using empty/component CG, %MAC"
