Quantity,Value,Notes
Aircraft Cm_alpha (VLM),-30.363586,Pitching moment derivative with respect to angle of attack
Aircraft CZ_alpha (VLM),6.260762,Aircraft vertical-force/lift-related derivative from VLM
Wing CZ_alpha (VLM),5.598776,Wing lift-related derivative from VLM
Horizontal tail CZ_alpha (VLM),0.661985,Horizontal-tail lift-related derivative from VLM
Wing CL_alpha (DATCOM),5.409299,DATCOM wing lift-curve slope
Horizontal tail CL_alpha (DATCOM),2.448798,DATCOM horizontal-tail lift-curve slope with downwash correction
dCm/dCL from VLM alpha sweep,-4.881516,Linear fit of Cm against CL using low-angle range
Fuselage dCmf/dCL used with DATCOM,0.286405,Fuselage moment-lift derivative using DATCOM wing slope
Fuselage dCmf/dCL used with VLM,0.276713,Fuselage moment-lift derivative using VLM wing slope
DATCOM neutral point x_np,15.923055,"Neutral point from DATCOM-style estimate, m from nose"
VLM neutral point x_np,15.880541,"Neutral point from VLM Cm-CL slope, m from nose"
Empty/component DATCOM static margin,-2.242321,"Static margin using empty/component CG, %MAC"
Empty/component VLM static margin,-3.4751,"Static margin using empty/component CG, %MAC"
