Quantity,Value,Notes
Aircraft Cm_alpha (VLM),-28.663085,Pitching moment derivative with respect to angle of attack
Aircraft CZ_alpha (VLM),6.137043,Aircraft vertical-force/lift-related derivative from VLM
Wing CZ_alpha (VLM),5.609682,Wing lift-related derivative from VLM
Horizontal tail CZ_alpha (VLM),0.527361,Horizontal-tail lift-related derivative from VLM
Wing CL_alpha (DATCOM),5.198294,DATCOM wing lift-curve slope
Horizontal tail CL_alpha (DATCOM),2.185731,DATCOM horizontal-tail lift-curve slope with downwash correction
dCm/dCL from VLM alpha sweep,-4.759943,Linear fit of Cm against CL using low-angle range
Fuselage dCmf/dCL used with DATCOM,0.312438,Fuselage moment-lift derivative using DATCOM wing slope
Fuselage dCmf/dCL used with VLM,0.289525,Fuselage moment-lift derivative using VLM wing slope
DATCOM neutral point x_np,16.136374,"Neutral point from DATCOM-style estimate, m from nose"
VLM neutral point x_np,16.12338,"Neutral point from VLM Cm-CL slope, m from nose"
Empty/component DATCOM static margin,-3.261579,"Static margin using empty/component CG, %MAC"
Empty/component VLM static margin,-3.621843,"Static margin using empty/component CG, %MAC"
