Quantity,Value,Notes
Aircraft Cm_alpha (VLM),-28.71277,Pitching moment derivative with respect to angle of attack
Aircraft CZ_alpha (VLM),6.134981,Aircraft vertical-force/lift-related derivative from VLM
Wing CZ_alpha (VLM),5.593062,Wing lift-related derivative from VLM
Horizontal tail CZ_alpha (VLM),0.541919,Horizontal-tail lift-related derivative from VLM
Wing CL_alpha (DATCOM),5.198294,DATCOM wing lift-curve slope
Horizontal tail CL_alpha (DATCOM),2.185731,DATCOM horizontal-tail lift-curve slope with downwash correction
dCm/dCL from VLM alpha sweep,-4.766512,Linear fit of Cm against CL using low-angle range
Fuselage dCmf/dCL used with DATCOM,0.312438,Fuselage moment-lift derivative using DATCOM wing slope
Fuselage dCmf/dCL used with VLM,0.290385,Fuselage moment-lift derivative using VLM wing slope
DATCOM neutral point x_np,16.136374,"Neutral point from DATCOM-style estimate, m from nose"
VLM neutral point x_np,16.143973,"Neutral point from VLM Cm-CL slope, m from nose"
Empty/component DATCOM static margin,-3.261579,"Static margin using empty/component CG, %MAC"
Empty/component VLM static margin,-3.050894,"Static margin using empty/component CG, %MAC"
