Quantity,Value,Notes
Aircraft Cm_alpha (VLM),-30.758286,Pitching moment derivative with respect to angle of attack
Aircraft CZ_alpha (VLM),6.265825,Aircraft vertical-force/lift-related derivative from VLM
Wing CZ_alpha (VLM),5.603005,Wing lift-related derivative from VLM
Horizontal tail CZ_alpha (VLM),0.66282,Horizontal-tail lift-related derivative from VLM
Wing CL_alpha (DATCOM),5.409299,DATCOM wing lift-curve slope
Horizontal tail CL_alpha (DATCOM),2.448798,DATCOM horizontal-tail lift-curve slope with downwash correction
dCm/dCL from VLM alpha sweep,-4.937456,Linear fit of Cm against CL using low-angle range
Fuselage dCmf/dCL used with DATCOM,0.286405,Fuselage moment-lift derivative using DATCOM wing slope
Fuselage dCmf/dCL used with VLM,0.276504,Fuselage moment-lift derivative using VLM wing slope
DATCOM neutral point x_np,16.147834,"Neutral point from DATCOM-style estimate, m from nose"
VLM neutral point x_np,16.074182,"Neutral point from VLM Cm-CL slope, m from nose"
Empty/component DATCOM static margin,-0.988465,"Static margin using empty/component CG, %MAC"
Empty/component VLM static margin,-3.124109,"Static margin using empty/component CG, %MAC"
